tweet_id,favorite_count,retweet_count,followers_count,friends_count,retweeted_status,url,text,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,year,month,day
892420643555336193,38841,8601,6831327,103,Original tweet,https://t.co/MgUWQ76dJU,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13.0,10.0,Phineas,False,False,False,False,2017,8,1
892177421306343426,33266,6320,6831327,103,Original tweet,https://t.co/aQFSeaCu9L,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,False,False,False,False,2017,8,1
891815181378084864,25063,4194,6831327,103,Original tweet,https://t.co/r0YlrsGCgy,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,False,False,False,False,2017,7,31
891689557279858688,42214,8714,6831327,103,Original tweet,https://t.co/tD36da7qLQ,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,False,False,False,False,2017,7,30
891327558926688256,40361,9486,6831327,103,Original tweet,https://t.co/0g0KMIVXZ3,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,False,False,False,False,2017,7,29
891087950875897856,20244,3137,6831327,103,Original tweet,https://t.co/xx5cilW0Dd,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,None,False,False,False,False,2017,7,29
890971913173991426,11864,2090,6831327,103,Original tweet,https://t.co/MV01Q820LT,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,False,False,False,False,2017,7,28
890729181411237888,65620,19066,6831327,103,Original tweet,https://t.co/hrcFOGi12V,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,None,False,False,False,False,2017,7,28
890609185150312448,27795,4300,6831327,103,Original tweet,https://t.co/UkrdQyoYxV,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,False,False,False,False,2017,7,27
890240255349198849,31983,7480,6831327,103,Original tweet,https://t.co/l3TSS3o2M0,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,True,False,False,False,2017,7,26
890006608113172480,30687,7399,6831327,103,Original tweet,https://t.co/jy2alqaYPH,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10.0,Koda,False,False,False,False,2017,7,26
889880896479866881,27822,5011,6831327,103,Original tweet,https://t.co/u1XPQMl29g,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10.0,Bruno,False,False,False,False,2017,7,25
